เศรษฐกิจ|经济
ขาดดุลการค้า8|贸易逆差8
เกินดุลการค้า8|贸易顺差8
ภาษีศุลกากร8|关税8
ภาษีมูลค่าเพิ่ม8|增值税8
เขตการค้าเสรี8|自由贸易区8
ข้อตกลงการค้า8|贸易协定8
องค์การการค้า8|贸易组织8
WTO8|世贸组织8
IMF8|国际货币基金组织8
World Bank8|世界银行8
ADB8|亚洲开发银行8
สกุลเงิน8|货币8
เงินบาท8|泰铢8
เงินดอลลาร์8|美元8
เงินยูโร8|欧元8
เงินหยวน8|人民币8
อัตราแลกเปลี่ยน8|汇率8
ค่าเงิน8|币值8
เงินทุนสำรอง8|外汇储备8
อุตสาหกรรม8|工业8
การผลิต8|生产8
ภาคการผลิต8|制造业8
โรงงาน8|工厂8
เกษตรกรรม8|农业8
การเกษตร8|农业8
ประมง8|渔业8
ป่าไม้8|林业8
เหมืองแร่8|采矿8
พลังงาน8|能源8
น้ำมัน8|石油8
ก๊าซธรรมชาติ8|天然气8
บริการ8|服务8
การเงิน8|金融8
ประกัน8|保险8
อสังหาริมทรัพย์8|房地产8
การท่องเที่ยว8|旅游8
โรงแรม8|酒店8
ร้านอาหาร8|餐饮8
ขนส่ง8|运输8
เทคโนโลยี8|技术8
นวัตกรรม8|创新8
ดิจิทัล8|数字8
อีคอมเมิร์ซ8|电子商务8
แรงงาน8|劳动力8
อัตราการว่างงาน8|失业率8
ค่าแรง8|工资8
สวัสดิการ8|福利8
เงินเดือน8|月薪8
ค่าจ้าง8|报酬8
ประกันสังคม8|社会保险8
กองทุนเงินสำรอง8|储备基金8
วิสาหกิจ8|企业8
วิสาหกิจขนาดกลาง8|中型企业8
วิสาหกิจขนาดย่อม8|小型企业8
สตาร์ทอัพ8|初创企业8
startup8|初创公司8
SME8|中小企业8
บริษัท8|公司8
ห้างหุ้นส่วน8|合伙企业8
IPO8|首次公开募股8
M&A8|并购8
FinTech8|金融科技8
Cryptocurrency8|加密货币8
Bitcoin8|比特币8
Blockchain8|区块链8
AI8|人工智能8
IoT8|物联网8
การพัฒนาอย่างยั่งยืน8|可持续发展8
