รถยนต์|汽车
ขับไม่ดื่ม9|开车不喝酒9
ดื่มไม่ขับ9|喝酒不开车9
เข็มขัดนิรภัย9|安全带9
ถุงลมนิรภัย9|安全气囊9
ไฟหน้า9|前灯9
ไฟท้าย9|尾灯9
ไฟเลี้ยว9|转向灯9
ไฟเบรก9|刹车灯9
กระจกมองข้าง9|后视镜9
กระจกบังลม9|挡风玻璃9
กันชน9|保险杠9
กระโปรงหน้า9|引擎盖9
ท้ายรถ9|车尾9
ประตูรถ9|车门9
รถยนต์10|汽车10
มอเตอร์ไซค์10|摩托车10
จักรยาน10|自行车10
รถบัส10|公交车10
รถตู้10|小巴10
รถแท็กซี่10|出租车10
รถไฟ10|火车10
รถไฟฟ้า10|轻轨10
รถไฟใต้ดิน10|地铁10
เรือ10|船10
เรือข้ามฟาก10|渡轮10
เรือเร็ว10|快艇10
เครื่องบิน10|飞机10
เฮลิคอปเตอร์10|直升机10
ถนน10|马路10
ทางด่วน10|高速公路10
สะพาน10|桥10
อุโมงค์10|隧道10
สี่แยก10|十字路口10
วงเวียน10|环岛10
ทางเท้า10|人行道10
ไหล่ทาง10|路肩10
เกาะกลางถนน10|中央隔离带10
ไฟแดง10|红灯10
ไฟเขียว10|绿灯10
ไฟเหลือง10|黄灯10
ป้ายจราจร10|交通标志10
ป้ายหยุด10|停车标志10
ขับรถ10|开车10
หยุดรถ10|停车10
จอดรถ10|停车10
ถอยหลัง10|倒车10
เลี้ยว10|转弯10
ตรงไป10|直走10
กลับรถ10|掉头10
เปลี่ยนเลน10|变道10
แซง10|超车10
ขับช้า10|慢驶10
ขับเร็ว10|快开10
ความเร็ว10|速度10
ความเร็วสูงสุด10|最高速度10
จำกัดความเร็ว10|限速10
น้ำมัน10|汽油10
น้ำมันเบนซิน10|汽油10
น้ำมันดีเซล10|柴油10
น้ำมันเครื่อง10|机油10
แก๊ส10|天然气10
EV10|电动车10
ชาร์จ10|充电10
สถานีชาร์จ10|充电站10
สถานีน้ำมัน10|加油站10
ค่าทางด่วน10|过路费10
ค่าจอดรถ10|停车费10
ค่าปรับ10|罚款10
ใบสั่ง10|罚单10
ประกันภัย10|保险10
ประกันภัยรถยนต์10|车险10
พ.ร.บ.10|交强险10
ภาษีรถ10|车税10
ต่อทะเบียน10|续签10
พรบ10|交强险10
สมุดคู่มือ10|行驶证10
ป้ายทะเบียน10|车牌10
 MOT10|年检10
ตรวจสภาพรถ10|车检10
ซ่อม10|修理10
เปลี่ยนยาง10|换轮胎10
เปลี่ยนน้ำมัน10|换机油10
ล้างรถ10|洗车10
ล้างรถอัตโนมัติ10|自动洗车10
ล้างรถมือ10|手动洗车10
จอดรถซ้าย10|靠左停车10
จอดรถขวา10|靠右停车10
ที่จอดรถ10|停车场10
ที่จอดรถใต้ดิน10|地下停车场10
ที่จอดรถบนดิน10|地上停车场10
ขับซ้าย10|靠左行驶10
ขับขวา10|靠右行驶10
ขับไม่ดื่ม10|开车不喝酒10
ดื่มไม่ขับ10|喝酒不开车10
เข็มขัดนิรภัย10|安全带10
ถุงลมนิรภัย10|安全气囊10
ไฟหน้า10|前灯10
ไฟท้าย10|尾灯10
ไฟเลี้ยว10|转向灯10
ไฟเบรก10|刹车灯10
กระจกมองข้าง10|后视镜10
กระจกบังลม10|挡风玻璃10
กันชน10|保险杠10
กระโปรงหน้า10|引擎盖10
