สีแดง|红色
สีสดใส5|明亮色5
สีหม่น5|暗淡色5
สีจัดจ้าน5|鲜艳色5
สีตุ่น5|柔和色5
สีโทนร้อน5|暖色调5
สีโทนเย็น5|冷色调5
สีโทนกลาง5|中性色5
สีโทนเดียว5|单色调5
สีคู่ตรงข้าม5|互补色5
สีใกล้เคียง5|类似色5
สีอบอุ่น5|暖色5
สีเย็น5|冷色5
สีแดง6|红色6
สีน้ำเงิน6|蓝色6
สีเขียว6|绿色6
สีเหลือง6|黄色6
สีขาว6|白色6
สีดำ6|黑色6
สีชมพู6|粉色6
สีม่วง6|紫色6
สีส้ม6|橙色6
สีน้ำตาล6|棕色6
สีเทา6|灰色6
สีทอง6|金色6
สีเงิน6|银色6
สีเขียวอ่อน6|浅绿6
สีเขียวเข้ม6|深绿6
สีน้ำเงินอ่อน6|浅蓝6
สีน้ำเงินเข้ม6|深蓝6
สีแดงอ่อน6|浅红6
สีแดงเข้ม6|深红6
สีชมพูอ่อน6|浅粉6
สีชมพูเข้ม6|深粉6
สีส้มอ่อน6|浅橙6
สีส้มเข้ม6|深橙6
สีม่วงอ่อน6|浅紫6
สีม่วงเข้ม6|深紫6
สีเหลืองอ่อน6|浅黄6
สีเหลืองเข้ม6|深黄6
สีน้ำตาลอ่อน6|浅棕6
สีน้ำตาลเข้ม6|深棕6
สีเทาอ่อน6|浅灰6
สีเทาเข้ม6|深灰6
สีแสด6|橙红6
สีโอลีฟ6|橄榄绿6
สีฟ้า6|天蓝6
สีคราม6|靛蓝6
สีกรมท่า6|藏青6
สีฟ้าอ่อน6|淡蓝6
สีฟ้าเข้ม6|深蓝6
สีเขียวมะนาว6|柠檬绿6
สีเขียวมะกอก6|橄榄绿6
สีเขียวทหาร6|军绿6
สีเขียวมิ้นต์6|薄荷绿6
สีเขียวแอปเปิ้ล6|苹果绿6
สีเขียวขี้ม้า6|墨绿6
สีแดงเลือดหมู6|猪血红6
สีแดงชาด6|朱红6
สีแดงกุหลาบ6|玫瑰红6
สีแดงสตรอว์เบอร์รี่6|草莓红6
สีชมพูบานไม้6|粉红6
สีชมพูพีช6|蜜桃粉6
สีชมพูฟูเชีย6|紫红6
สีชมพูร้อน6|热粉6
สีส้มกล้วย6|香蕉橙6
สีส้มแครอท6|胡萝卜橙6
สีส้มทับทิม6|石榴橙6
สีม่วงลาเวนเดอร์6|薰衣草紫6
สีม่วงไพลิน6|蓝宝石紫6
สีม่วงบลูเบอร์รี่6|蓝莓紫6
สีเหลืองมะนาว6|柠檬黄6
สีเหลืองมัสตาร์ด6|芥末黄6
สีเหลืองโกเมน6|石榴黄6
สีน้ำตาลช็อกโกแลต6|巧克力棕6
สีน้ำตาลคาราเมล6|焦糖棕6
สีน้ำตาลกาแฟ6|咖啡棕6
สีขาวนวล6|米白6
สีขาวบริสุทธิ์6|纯白6
สีขาวน้ำนม6|乳白6
สีขาวไข่มุก6|珍珠白6
สีดำสนิท6|纯黑6
สีดำมะเม่า6|乌黑6
สีดำถ่าน6|炭黑6
สีดำอีโบนี6|乌木黑6
สีเมทัลลิก6|金属色6
สีแมทท์6|哑光色6
สีซาติน6|缎面色6
สีเงา6|亮面色6
สีพาสเทล6|粉彩色6
สีนีออน6|荧光色6
สีเอิร์ธโทน6|大地色6
สีโมโนโครม6|单色6
สีไล่ระดับ6|渐变色6
สี.mixin6|混合色6
สีโปร่งใส6|透明色6
สีขุ่น6|浑浊色6
สีสด6|鲜艳色6
สีอ่อน6|浅色6
สีเข้ม6|深色6
สีสว่าง6|亮色6
สีมืด6|暗色6
สีรุ้ง6|彩虹色6
สี thiên6|自然色6
สีธรรมชาติ6|自然色6
สีดั้งเดิม6|传统色6
สีโมเดิร์น6|现代色6
สีวินเทจ6|复古色6
สีคลาสสิก6|经典色6
สี时尚6|时尚色6
สีสดใส6|明亮色6
สีหม่น6|暗淡色6
สีจัดจ้าน6|鲜艳色6
สีตุ่น6|柔和色6
สีโทนร้อน6|暖色调6
สีโทนเย็น6|冷色调6
สีโทนกลาง6|中性色6
สีโทนเดียว6|单色调6
สีคู่ตรงข้าม6|互补色6
สีใกล้เคียง6|类似色6
สีอบอุ่น6|暖色6
สีเย็น6|冷色6
สีแดง7|红色7
สีน้ำเงิน7|蓝色7
สีเขียว7|绿色7
สีเหลือง7|黄色7
สีขาว7|白色7
สีดำ7|黑色7
สีชมพู7|粉色7
สีม่วง7|紫色7
สีส้ม7|橙色7
สีน้ำตาล7|棕色7
สีเทา7|灰色7
สีทอง7|金色7
สีเงิน7|银色7
สีเขียวอ่อน7|浅绿7
สีเขียวเข้ม7|深绿7
สีน้ำเงินอ่อน7|浅蓝7
สีน้ำเงินเข้ม7|深蓝7
สีแดงอ่อน7|浅红7
สีแดงเข้ม7|深红7
สีชมพูอ่อน7|浅粉7
สีชมพูเข้ม7|深粉7
สีส้มอ่อน7|浅橙7
สีส้มเข้ม7|深橙7
สีม่วงอ่อน7|浅紫7
สีม่วงเข้ม7|深紫7
