วัน|天
ตอนเช้า10|早上10
ตอนบ่าย10|下午10
ตอนเย็น10|傍晚10
กลางคืน10|晚上10
เที่ยงวัน10|中午10
เที่ยงคืน10|午夜10
ตอนสาย10|上午10
ตอนค่ำ10|晚上10
เดือนมกราคม10|一月10
เดือนกุมภาพันธ์10|二月10
เดือนมีนาคม10|三月10
เดือนเมษายน10|四月10
เดือนพฤษภาคม10|五月10
เดือนมิถุนายน10|六月10
เดือนกรกฎาคม10|七月10
เดือนสิงหาคม10|八月10
เดือนกันยายน10|九月10
เดือนตุลาคม10|十月10
เดือนพฤศจิกายน10|十一月10
