วัฒนธรรม|文化
ยูโด6|柔道6
มารยาท6|礼仪6
วัฒนธรรมการกิน6|饮食文化6
วัฒนธรรมการทักทาย6|问候文化6
การไหว้6|合十礼6
ไหว้พระ6|拜佛6
ไหว้ผู้ใหญ่6|向长辈行礼6
การเคารพ6|尊重6
ความสุภาพ6|礼貌6
การแต่งกาย6|着装6
วัฒนธรรมการใช้เท้า6|用脚文化6
บ้าน6|家6
สถาปัตยกรรมไทย6|泰国建筑6
วัด11|寺庙11
ปราสาท6|宫殿6
เรือนไทย6|泰式房屋6
ตลาดน้ำ6|水上市场6
ตลาด6|市场6
ชุมชน10|社区10
หมู่บ้าน6|村庄6
เมือง6|城市6
การเดินทาง6|旅行6
