ตื่นนอน|起床
ทอด4|炸4
ทอดไข่4|煎蛋4
ทอดไก่4|炸鸡4
ทอดปลา4|炸鱼4
ทอดมัน4|炸丸子4
ผัด4|炒4
ผัดผัก4|炒菜4
ผัดหมี่4|炒面4
ผัดข้าว4|炒饭4
ผัดกะเพรา4|炒罗勒4
ย่าง4|烤4
ย่างเนื้อ4|烤肉4
ย่างไก่4|烤鸡4
ย่างปลา4|烤鱼4
ย่างกุ้ง4|烤虾4
นึ่ง4|蒸4
นึ่งข้าว4|蒸饭4
นึ่งปลา4|蒸鱼4
นึ่งไข่4|蒸蛋4
นึ่งผัก4|蒸菜4
ยำ4|拌4
ยำวุ้นเส้น4|拌粉丝4
ยำมะม่วง4|拌芒果4
ยำถั่วพลู4|拌豆叶4
ยำทะเล4|拌海鲜4
ลาบ4|碎肉沙拉4
ลาบหมู4|猪肉碎沙拉4
ลาบไก่4|鸡肉碎沙拉4
ลาบเนื้อ4|牛肉碎沙拉4
ส้มตำ6|青木瓜沙拉6
ตำปู4|腌蟹沙拉4
ตำไทย4|泰式沙拉4
ตำลาว4|老挝沙拉4
น้ำจิ้ม4|蘸酱4
น้ำจิ้มซีฟู้ด4|海鲜酱4
น้ำจิ้มถั่ว4|花生酱4
น้ำจิ้มพริก4|辣椒酱4
ข้าว4|米饭4
ข้าวสวย4|白米饭4
ข้าวเหนียว4|糯米饭4
ข้าวกล้อง4|糙米4
ข้าวไรซ์เบอร์รี่4|红米4
ก๋วยเตี๋ยว4|面条4
บะหมี่4|黄面条4
วุ้นเส้น4|粉丝4
เส้นจันท์4|粿条4
ขนมจีน4|米线4
ข้าวผัด4|炒饭4
ข้าวผัดกระเทียม4|蒜蓉炒饭4
ข้าวผัดไข่4|蛋炒饭4
ข้าวผัดกุ้ง4|虾仁炒饭4
แกง4|咖喱4
แกงเขียวหวาน4|绿咖喱4
แกงเผ็ด4|红咖喱4
แกงกะหรี่4|黄咖喱4
แกงมัสมั่น4|马沙曼咖喱4
ต้มยำ4|冬阴功汤4
ต้มข่า4|椰奶鸡汤4
แกงส้ม4|酸咖喱4
แกงจืด4|清汤4
จิ้มจุ่ม4|火锅4
สุกี้ยากี้4|日式火锅4
ชาบู4|涮涮锅4
หมูกะทะ4|烤肉4
ปิ้งย่าง4|烧烤4
ข้าวซอย4|泰北咖喱面4
ข้าวมันไก่4|海南鸡饭4
ข้าวหมูแดง4|叉烧饭4
ข้าวหน้าเป็ด4|鸭肉饭4
ผัดไทย4|泰式炒粿条4
ผัดซีอิ๊ว4|酱油炒面4
ผัดหมูสับ4|肉末炒面4
ผัดกะเพราหมู4|罗勒炒猪肉4
ส้มตำ7|青木瓜沙拉7
ลาบหมู4|猪肉沙拉4
ไส้กรอก4|香肠4
หมูยอ4|猪肉肠4
แหนม4|酸肉4
ไข่ต้ม4|水煮蛋4
ไข่ดาว4|煎蛋4
ไข่คน4|炒蛋4
ไข่ลวก4|溏心蛋4
ไข่เจียว4|蛋饼4
นม4|牛奶4
น้ำส้ม4|橙汁4
น้ำมะพร้าว4|椰子水4
น้ำมะนาว4|柠檬水4
น้ำอัดลม4|汽水4
