บ้าน|家
แผนกทันตกรรม8|牙科8
แผนกตา8|眼科8
ห้างสรรพสินค้า8|百货商场8
ซุปเปอร์มาร์เก็ต8|超市8
ร้านสะดวกซื้อ8|便利店8
ตลาด8|市场8
ตลาดสด8|菜市场8
ตลาดนัด8|跳蚤市场8
ตลาดกลางคืน8|夜市8
ฟู้ดคอร์ด8|美食广场8
ร้านอาหาร8|餐厅8
ร้านกาแฟ8|咖啡馆8
ร้านเบเกอรี่8|面包店8
ร้านไอศกรีม8|冰淇淋店8
ร้านขายเสื้อผ้า8|服装店8
ร้านรองเท้า8|鞋店8
ร้านเครื่องประดับ8|珠宝店8
ร้านแว่นตา8|眼镜店8
ร้านซ่อม8|维修店8
ร้านตัดผม8|理发店8
ร้านสปา8|SPA馆8
ร้านนวด8|按摩店8
สนามบิน8|机场8
สถานีรถไฟ8|火车站8
สถานีรถตู้8|小巴站8
ท่าเรือ8|码头8
สถานีรถไฟฟ้า8|地铁站8
สถานี BTS8|轻轨站8
สถานี MRT8|地铁站8
ป้ายรถเมล์8|公交站8
ที่จอดรถ8|停车场8
ทางด่วน8|高速公路8
ถนน8|马路8
ซอย8|小巷8
สะพาน8|桥8
อุโมงค์8|隧道8
สี่แยก8|十字路口8
วงเวียน8|环岛8
ทางเท้า8|人行道8
จุดจอด8|停靠站8
วัด8|寺庙8
โบสถ์8|教堂8
มัสยิด8|清真寺8
ศาลเจ้า8|神社8
ศาลหลักเมือง8|城隍庙8
สวนสาธารณะ14|公园14
สวนสาธารณะ15|公园15
สนามกีฬา8|运动场8
สนามฟุตบอล8|足球场8
สนามบาสเกตบอล8|篮球场8
สนามเทนนิส8|网球场8
สนามกอล์ฟ8|高尔夫球场8
สระว่ายน้ำ8|游泳池8
สวนสัตว์8|动物园8
อควาเรียม8|水族馆8
พิพิธภัณฑ์8|博物馆8
หอศิลป์8|美术馆8
โรงมหรสพ8|剧院8
โรงภาพยนตร์8|电影院8
โรงละคร8|剧场8
โรงเต็มรูปแบบ8|全功能剧院8
เกาะ8|岛8
ชายหาด8|海滩8
ภูเขา8|山8
น้ำตก8|瀑布8
ถ้ำ8|洞穴8
ป่า8|森林8
ทะเลสาบ8|湖8
แม่น้ำ8|河流8
คลอง8|运河8
อ่างเก็บน้ำ8|水库8
น้ำพุ8|喷泉8
 לאורจันทร์8|月光下8
ใต้ต้นไม้8|树下8
บนเนินเขา8|山上8
ชายป่า8|森林边缘8
บ้าน9|家9
คอนโด9|公寓9
คอนโดมิเนียม9|高级公寓9
ทาวน์โฮม9|联排别墅9
บ้านเดี่ยว9|独栋别墅9
ห้อง9|房间9
ห้องนอน9|卧室9
ห้องนั่งเล่น9|客厅9
ห้องครัว9|厨房9
ห้องน้ำ9|浴室9
ห้องรับแขก9|会客室9
ห้องทำงาน9|书房9
ห้องเก็บของ9|储藏室9
ระเบียง9|阳台9
ดาดฟ้า9|天台9
สนาม9|场地9
สนามหญ้า9|草坪9
สวน9|花园9
สระน้ำ9|游泳池9
โรงจอดรถ9|车库9
โรงเรียน9|学校9
มหาวิทยาลัย9|大学9
วิทยาลัย9|学院9
โรงเรียนประถม9|小学9
โรงเรียนมัธยม9|中学9
สถาบันกวดวิชา9|补习班9
ห้องสมุด9|图书馆9
