โรงเรียน|学校
ทุนการศึกษา8|教育奖学金8
กู้ยืมเงิน8|贷款8
ค่าเทอม8|学费8
อินเทอร์เน็ต8|互联网8
Wi-Fi8|无线网络8
แลปท็อป8|笔记本电脑8
แท็บเล็ต8|平板电脑8
ห้องสมุด15|图书馆15
หนังสือ8|书8
ตำรา8|教材8
วารสาร8|期刊8
นิตยสาร8|杂志8
วิจัย8|研究8
วิทยานิพนธ์8|论文8
รายงานวิจัย8|研究报告8
ข้อมูล8|数据8
สัมมนา8|研讨会8
สัมมนาวิชาการ8|学术研讨会8
ประชุม8|会议8
การสัมมนา8|研讨会8
วิทยากร8|讲师8
ผู้บรรยาย8|演讲者8
ผู้เข้าร่วม8|参与者8
ผู้เข้าชม8|参观者8
วันปฐมนิเทศ8|开学典礼8
วันสำเร็จการศึกษา8|毕业典礼8
วันกีฬาสี8|运动会8
วันเด็ก8|儿童节8
วันไหว้ครู8|拜师节8
วันอาสาฬหบูชา8|守夏节8
วันเข้าพรรษา8|入夏节8
ห้อง8|房间8
โต๊ะ8|桌子8
เก้าอี้8|椅子8
กระดาน8|黑板8
จอ8|屏幕8
โปรเจคเตอร์8|投影仪8
ไมโครโฟน8|麦克风8
ลำโพง8|扬声器8
คอมพิวเตอร์8|电脑8
ปริ้นเตอร์8|打印机8
สแกนเนอร์8|扫描仪8
