ตื่น|醒来
ทำอาหาร6|做饭6
กินข้าว6|吃饭6
ดื่มน้ำ6|喝水6
ล้างจาน6|洗碗6
ซักผ้า6|洗衣服6
รีดผ้า6|熨衣服6
กวาดบ้าน6|扫地6
ถูบ้าน6|拖地6
ทำความสะอาด6|打扫6
จัดห้อง6|整理房间6
เปิดไฟ6|开灯6
ปิดไฟ6|关灯6
เปิดแอร์6|开空调6
ปิดแอร์6|关空调6
เปิดน้ำ6|开水龙头6
ปิดน้ำ6|关水龙头6
เสียบปลั๊ก6|插电源6
ถอดปลั๊ก6|拔电源6
เปิดทีวี6|看电视6
ดูหนัง6|看电影6
ฟังเพลง6|听音乐6
อ่านหนังสือ6|看书6
เขียนหนังสือ6|写字6
เล่นเกม6|玩游戏6
ทำงานบ้าน6|做家务6
เก็บของ6|收拾东西6
วางของ6|放东西6
หยิบของ6|拿东西6
ทิ้งขยะ6|扔垃圾6
แยกขยะ6|垃圾分类6
รี사이เคิล6|回收利用6
ประหยัดไฟ6|省电6
ประหยัดน้ำ6|节水6
เปิดหน้าต่าง6|开窗6
ปิดหน้าต่าง6|关窗6
ล็อคประตู6|锁门6
ไขประตู6|开门6
กดลิฟต์6|按电梯6
ขึ้นบันได6|上楼梯6
ลงบันได6|下楼梯6
จอดรถ6|停车6
ขับรถ6|开车6
เดินทาง6|出行6
ไปทำงาน6|上班6
กลับบ้าน6|回家6
ออกจากบ้าน6|出门6
เข้าบ้าน6|进家6
พักผ่อน6|休息6
นอนกลางวัน6|午睡6
