รัฐบาล|政府
สหภาพแรงงาน7|工会7
ค่าแรงขั้นต่ำ7|最低工资7
แรงงานข้ามชาติ7|外来务工7
คนพิการ7|残疾人7
เด็ก7|儿童7
สตรี7|妇女7
ผู้สูงอายุ7|老人7
การศึกษา7|教育7
สาธารณูปการ7|公共设施7
สาธารณูปโภค7|基础设施7
ถนน7|道路7
สะพาน7|桥梁7
อ่างเก็บน้ำ7|水库7
เขื่อน7|大坝7
รัฐบาล8|政府8
นายกรัฐมนตรี8|总理8
รัฐมนตรี8|部长8
สภา8|议会8
สภาผู้แทน8|众议院8
วุฒิสภา8|参议院8
ส.ส.8|议员8
ส.ว.8|参议员8
พรรค8|政党8
การเลือกตั้ง8|选举8
ลงคะแนน8|投票8
บัตรเลือกตั้ง8|选票8
นโยบาย8|政策8
รัฐธรรมนูญ8|宪法8
กฎหมาย8|法律8
พระราชบัญญัติ8|法律8
กฎกระทรวง8|部令8
ระเบียบ8|规定8
